"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","success","test_part","correct_response","probe"
"3424","<img src= stimuli/temporalOrder/86.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/31.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/15.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/29.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","10","616052","0.0-3.0-3.1","","contextMemory","2","86"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","616554","0.0-3.0-0.2","","fixation","",""
"13395.999999999884","<img src= stimuli/temporalOrder/38.png width = '400' height = '251.57232704402514'><p>What came after this object?</p><img src= stimuli/temporalOrder/52.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/69.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/42.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","12","629951","0.0-3.0-1.2","","temporalOrder","3","38"
"null","","null","html-keyboard-response","13","630453","0.0-3.0-2.2","","blank","",""
"3231","<img src= stimuli/temporalOrder/38.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/20.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/22.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/43.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","14","633685","0.0-3.0-3.2","","contextMemory","3","38"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","634187","0.0-3.0-0.3","","fixation","",""
"8529","<img src= stimuli/temporalOrder/83.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= stimuli/temporalOrder/86.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/77.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/43.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","16","642718","0.0-3.0-1.3","","temporalOrder","3","83"
"null","","null","html-keyboard-response","17","643220","0.0-3.0-2.3","","blank","",""
"4716","<img src= stimuli/temporalOrder/83.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/12.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/36.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/6.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","18","647945","0.0-3.0-3.3","","contextMemory","1","83"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","648448","0.0-3.0-0.4","","fixation","",""
"4562","<img src= stimuli/temporalOrder/58.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= stimuli/temporalOrder/39.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/0.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/68.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","20","653019","0.0-3.0-1.4","","temporalOrder","1","58"
"null","","null","html-keyboard-response","21","653522","0.0-3.0-2.4","","blank","",""
"4292","<img src= stimuli/temporalOrder/58.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/9.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/2.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/13.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","22","657820","0.0-3.0-3.4","","contextMemory","2","58"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","658323","0.0-3.0-0.5","","fixation","",""
"10119","<img src= stimuli/temporalOrder/18.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= stimuli/temporalOrder/31.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/40.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/30.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","24","668452","0.0-3.0-1.5","","temporalOrder","2","18"
"null","","null","html-keyboard-response","25","668954","0.0-3.0-2.5","","blank","",""
"6387","<img src= stimuli/temporalOrder/18.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/30.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/34.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/33.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","26","675345","0.0-3.0-3.5","","contextMemory","1","18"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","675847","0.0-3.0-0.6","","fixation","",""
"7130","<img src= stimuli/temporalOrder/44.png width = '400' height = '251.57232704402514'><p>What came after this object?</p><img src= stimuli/temporalOrder/25.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/21.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/71.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","28","682980","0.0-3.0-1.6","","temporalOrder","3","44"
"null","","null","html-keyboard-response","29","683482","0.0-3.0-2.6","","blank","",""
"7289","<img src= stimuli/temporalOrder/44.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/41.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/42.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/4.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","30","690774","0.0-3.0-3.6","","contextMemory","3","44"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","691276","0.0-3.0-0.7","","fixation","",""
"12216","<img src= stimuli/temporalOrder/73.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= stimuli/temporalOrder/12.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/57.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/41.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","32","703494","0.0-3.0-1.7","","temporalOrder","1","73"
"null","","null","html-keyboard-response","33","703996","0.0-3.0-2.7","","blank","",""
"1904.9999999998836","<img src= stimuli/temporalOrder/73.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/35.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/9.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/29.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","34","705903","0.0-3.0-3.7","","contextMemory","2","73"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","706405","0.0-3.0-0.8","","fixation","",""
"3937","<img src= stimuli/temporalOrder/10.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= stimuli/temporalOrder/20.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/62.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/24.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","36","710343","0.0-3.0-1.8","","temporalOrder","1","10"
"null","","null","html-keyboard-response","37","710845","0.0-3.0-2.8","","blank","",""
"2512","<img src= stimuli/temporalOrder/10.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/29.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/22.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/1.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","38","713358","0.0-3.0-3.8","","contextMemory","1","10"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","713860","0.0-3.0-0.9","","fixation","",""
"5265","<img src= stimuli/temporalOrder/68.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= stimuli/temporalOrder/48.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/28.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/2.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","40","719126","0.0-3.0-1.9","","temporalOrder","3","68"
"null","","null","html-keyboard-response","41","719628","0.0-3.0-2.9","","blank","",""
"1901","<img src= stimuli/temporalOrder/68.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/40.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/8.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/42.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","42","721531","0.0-3.0-3.9","","contextMemory","1","68"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","722033","0.0-3.0-0.10","","fixation","",""
"5268","<img src= stimuli/temporalOrder/82.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= stimuli/temporalOrder/2.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/24.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/62.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","44","727302","0.0-3.0-1.10","","temporalOrder","3","82"
"null","","null","html-keyboard-response","45","727804","0.0-3.0-2.10","","blank","",""
"2584","<img src= stimuli/temporalOrder/82.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/13.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/33.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/31.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","46","730390","0.0-3.0-3.10","","contextMemory","2","82"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","730892","0.0-3.0-0.11","","fixation","",""
"6216.999999999884","<img src= stimuli/temporalOrder/69.png width = '400' height = '251.57232704402514'><p>What came after this object?</p><img src= stimuli/temporalOrder/81.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/79.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/75.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","48","737110","0.0-3.0-1.11","","temporalOrder","1","69"
"null","","null","html-keyboard-response","49","737612","0.0-3.0-2.11","","blank","",""
"3227.9999999998836","<img src= stimuli/temporalOrder/69.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/5.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/2.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/32.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","50","740842","0.0-3.0-3.11","","contextMemory","1","69"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","741344","0.0-3.0-0.12","","fixation","",""
"5177.000000000116","<img src= stimuli/temporalOrder/70.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= stimuli/temporalOrder/50.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/73.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/71.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","52","746523","0.0-3.0-1.12","","temporalOrder","3","70"
"null","","null","html-keyboard-response","53","747024","0.0-3.0-2.12","","blank","",""
"3994","<img src= stimuli/temporalOrder/70.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/8.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/14.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/5.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","54","751019","0.0-3.0-3.12","","contextMemory","3","70"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","751521","0.0-3.0-0.13","","fixation","",""
"3299.9999999998836","<img src= stimuli/temporalOrder/31.png width = '400' height = '251.57232704402514'><p>What came after this object?</p><img src= stimuli/temporalOrder/1.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/26.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/11.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","56","754822","0.0-3.0-1.13","","temporalOrder","1","31"
"null","","null","html-keyboard-response","57","755324","0.0-3.0-2.13","","blank","",""
"7692.000000000116","<img src= stimuli/temporalOrder/31.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/6.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/21.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/26.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","58","763017","0.0-3.0-3.13","","contextMemory","3","31"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","59","763519","0.0-3.0-0.14","","fixation","",""
"5235","<img src= stimuli/temporalOrder/46.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= stimuli/temporalOrder/70.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/74.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/61.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","60","768756","0.0-3.0-1.14","","temporalOrder","3","46"
"null","","null","html-keyboard-response","61","769258","0.0-3.0-2.14","","blank","",""
"2765","<img src= stimuli/temporalOrder/46.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/11.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/34.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/24.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","62","772025","0.0-3.0-3.14","","contextMemory","1","46"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","63","772527","0.0-3.0-0.15","","fixation","",""
"9266","<img src= stimuli/temporalOrder/27.png width = '400' height = '251.57232704402514'><p>What came after this object?</p><img src= stimuli/temporalOrder/65.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/42.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/12.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","64","781794","0.0-3.0-1.15","","temporalOrder","3","27"
"null","","null","html-keyboard-response","65","782296","0.0-3.0-2.15","","blank","",""
"1780","<img src= stimuli/temporalOrder/27.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/16.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/8.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/24.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","66","784078","0.0-3.0-3.15","","contextMemory","2","27"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","67","784580","0.0-3.0-0.16","","fixation","",""
"6778","<img src= stimuli/temporalOrder/80.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= stimuli/temporalOrder/20.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/29.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/8.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","68","791360","0.0-3.0-1.16","","temporalOrder","2","80"
"null","","null","html-keyboard-response","69","791862","0.0-3.0-2.16","","blank","",""
"2863.9999999998836","<img src= stimuli/temporalOrder/80.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/2.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/21.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/38.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","70","794728","0.0-3.0-3.16","","contextMemory","2","80"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","71","795230","0.0-3.0-0.17","","fixation","",""
"5645","<img src= stimuli/temporalOrder/57.png width = '400' height = '251.57232704402514'><p>What came after this object?</p><img src= stimuli/temporalOrder/25.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/55.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/39.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","72","800876","0.0-3.0-1.17","","temporalOrder","2","57"
"null","","null","html-keyboard-response","73","801378","0.0-3.0-2.17","","blank","",""
"4814","<img src= stimuli/temporalOrder/57.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/9.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/36.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/39.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","74","806193","0.0-3.0-3.17","","contextMemory","2","57"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","75","806695","0.0-3.0-0.18","","fixation","",""
"3144","<img src= stimuli/temporalOrder/45.png width = '400' height = '251.57232704402514'><p>What came after this object?</p><img src= stimuli/temporalOrder/48.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/66.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/6.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","76","809841","0.0-3.0-1.18","","temporalOrder","1","45"
"null","","null","html-keyboard-response","77","810343","0.0-3.0-2.18","","blank","",""
"3418.9999999998836","<img src= stimuli/temporalOrder/45.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/5.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/19.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/28.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","78","813763","0.0-3.0-3.18","","contextMemory","3","45"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","79","814265","0.0-3.0-0.19","","fixation","",""
"7669.000000000116","<img src= stimuli/temporalOrder/47.png width = '400' height = '251.57232704402514'><p>What came after this object?</p><img src= stimuli/temporalOrder/4.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/35.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/71.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","80","821935","0.0-3.0-1.19","","temporalOrder","1","47"
"null","","null","html-keyboard-response","81","822436","0.0-3.0-2.19","","blank","",""
"2282.0000000001164","<img src= stimuli/temporalOrder/47.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/1.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/40.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/2.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","82","824720","0.0-3.0-3.19","","contextMemory","1","47"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","83","825222","0.0-3.0-0.20","","fixation","",""
"4422","<img src= stimuli/temporalOrder/24.png width = '400' height = '251.57232704402514'><p>What came after this object?</p><img src= stimuli/temporalOrder/13.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/56.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/22.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","84","829645","0.0-3.0-1.20","","temporalOrder","2","24"
"null","","null","html-keyboard-response","85","830147","0.0-3.0-2.20","","blank","",""
"2244.0000000001164","<img src= stimuli/temporalOrder/24.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/12.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/43.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/24.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","86","832393","0.0-3.0-3.20","","contextMemory","3","24"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","87","832895","0.0-3.0-0.21","","fixation","",""
"5087.000000000116","<img src= stimuli/temporalOrder/52.png width = '400' height = '251.57232704402514'><p>What came after this object?</p><img src= stimuli/temporalOrder/30.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/4.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/78.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","88","837983","0.0-3.0-1.21","","temporalOrder","1","52"
"null","","null","html-keyboard-response","89","838485","0.0-3.0-2.21","","blank","",""
"3400","<img src= stimuli/temporalOrder/52.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/7.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/14.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/1.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","90","841887","0.0-3.0-3.21","","contextMemory","2","52"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","91","842389","0.0-3.0-0.22","","fixation","",""
"4272","<img src= stimuli/temporalOrder/4.png width = '400' height = '251.57232704402514'><p>What came after this object?</p><img src= stimuli/temporalOrder/39.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/28.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/31.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","92","846663","0.0-3.0-1.22","","temporalOrder","1","4"
"null","","null","html-keyboard-response","93","847165","0.0-3.0-2.22","","blank","",""
"4024","<img src= stimuli/temporalOrder/4.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/27.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/23.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/1.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","94","851191","0.0-3.0-3.22","","contextMemory","3","4"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","95","851693","0.0-3.0-0.23","","fixation","",""
"4535","<img src= stimuli/temporalOrder/37.png width = '400' height = '251.57232704402514'><p>What came after this object?</p><img src= stimuli/temporalOrder/63.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/61.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/76.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","96","856230","0.0-3.0-1.23","","temporalOrder","1","37"
"null","","null","html-keyboard-response","97","856731","0.0-3.0-2.23","","blank","",""
